종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1982","-14","-0.70","101249760444"
"054620","APS","KOSDAQ","금융","5700","-50","-0.87","113397059700"
"265520","AP시스템","KOSDAQ","기계·장비","15680","-450","-2.79","239612681280"
"211270","AP위성","KOSDAQ","운송장비·부품","13060","-290","-2.17","196974890240"
"109960","AP헬스케어","KOSDAQ","유통","458","-5","-1.08","91961485202"
"139050","BF랩스","KOSDAQ","기타서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","2980","-100","-3.25","187045359020"
"013720","CBI","KOSDAQ","운송장비·부품","864","6","0.70","38558709504"
"083790","CG인바이츠","KOSDAQ","기타서비스","2435","75","3.18","187237333170"
"035760","CJ ENM","KOSDAQ","기타서비스","64700","-300","-0.46","1418816263800"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","11370","-590","-4.93","103609147740"
"051500","CJ프레시웨이","KOSDAQ","유통","18340","630","3.56","217724887240"
"058820","CMG제약","KOSDAQ","제약","1906","-65","-3.30","264728617064"
"023460","CNH","KOSDAQ","금융","109","0","0.00","4054800000"
"056730","CNT85","KOSDAQ","건설","760","-9","-1.17","56324501360"
"065770","CS","KOSDAQ","일반전기전자","991","-21","-2.08","19236429830"
"083660","CSA 코스믹","KOSDAQ","화학","1059","-11","-1.03","64860764679"
"456440","DB금융스팩11호","KOSDAQ","금융","2275","0","0.00","12091625000"
"477760","DB금융스팩12호","KOSDAQ","금융","2065","5","0.24","12059600000"
"099520","DGI","KOSDAQ","일반전기전자","1284","0","0.00","58141862016"
"060900","DGP","KOSDAQ","전기·가스·수도","1048","-18","-1.69","26470623992"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2425","-25","-1.02","37624209650"
"025440","DH오토웨어","KOSDAQ","일반전기전자","828","-53","-6.02","25486853472"
"068790","DMS","KOSDAQ","기계·장비","5430","310","6.05","133431721230"
"241520","DSC인베스트먼트","KOSDAQ","금융","2890","0","0.00","79463801250"
"180400","DXVX","KOSDAQ","기타서비스","1829","-62","-3.28","90022341128"
"245620","EDGC","KOSDAQ","기타서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","6540","110","1.71","56407316880"
"050120","ES큐브","KOSDAQ","유통","1664","11","0.67","22570639104"
"214270","FSN","KOSDAQ","출판·매체복제","1892","-81","-4.11","62909875996"
"130500","GH신소재","KOSDAQ","섬유·의류","2640","-10","-0.38","38398937280"
"900290","GRT","KOSDAQ","금융","3720","0","0.00","250635000000"
"083450","GST","KOSDAQ","기계·장비","14000","-710","-4.83","260655640000"
"297890","HB솔루션","KOSDAQ","기계·장비","2900","-120","-3.97","212108650600"
"440290","HB인베스트먼트","KOSDAQ","금융","1672","-43","-2.51","45322920720"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1895","-85","-4.29","175696660820"
"195940","HK이노엔","KOSDAQ","제약","38400","-500","-1.29","1087867814400"
"028300","HLB","KOSDAQ","제약","71800","-1800","-2.45","9433617689400"
"278650","HLB바이오스텝","KOSDAQ","기타서비스","2055","-45","-2.14","178231360395"
"067630","HLB생명과학","KOSDAQ","제약","10400","120","1.17","1234269961600"
"024850","HLB이노베이션","KOSDAQ","일반전기전자","2675","-65","-2.37","252144250775"
"047920","HLB제약","KOSDAQ","기타서비스","22250","-250","-1.11","707883616500"
"115450","HLB테라퓨틱스","KOSDAQ","유통","10610","-350","-3.19","850284689130"
"046210","HLB파나진","KOSDAQ","의료·정밀기기","2910","-50","-1.69","123324950280"
"403870","HPSP","KOSDAQ","기계·장비","26500","50","0.19","2199472864000"
"036640","HRS","KOSDAQ","화학","4930","-60","-1.20","80629164000"
"439730","IBKS제20호스팩","KOSDAQ","금융","2150","0","0.00","9266500000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2115","-5","-0.24","8904150000"
"448760","IBKS제22호스팩","KOSDAQ","금융","2115","0","0.00","9369450000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2115","-10","-0.47","8946450000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2115","10","0.48","8946450000"
"095340","ISC","KOSDAQ","유통","51200","-1100","-2.10","1085289369600"
"950170","JTC","KOSDAQ","유통","4100","-75","-1.80","212160026800"
"067290","JW신약","KOSDAQ","제약","1479","-16","-1.07","75194581458"
"035900","JYP Ent.","KOSDAQ","오락·문화","76400","2600","3.52","2714682388800"
"318000","KBG","KOSDAQ","화학","4810","-160","-3.22","42040472630"
"024840","KBI메탈","KOSDAQ","금속","1970","-85","-4.14","68771122030"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3280","-100","-2.96","37720000000"
"455250","KB제25호스팩","KOSDAQ","금융","2070","5","0.24","8911350000"
"458320","KB제26호스팩","KOSDAQ","금융","2065","-285","-12.13","11367825000"
"464680","KB제27호스팩","KOSDAQ","금융","1990","8","0.40","25680950000"
"476470","KB제28호스팩","KOSDAQ","금융","2095","0","0.00","11532975000"
"478390","KB제29호스팩","KOSDAQ","금융","2030","20","1.00","12626600000"
"486630","KB제30호스팩","KOSDAQ","금융","2020","5","0.25","10726200000"
"021320","KCC건설","KOSDAQ","건설","4090","0","0.00","87526000000"
"036670","KCI","KOSDAQ","화학","6830","40","0.59","76974100000"
"044180","KD","KOSDAQ","건설","406","0","0.00","10847426394"
"046440","KG모빌리언스","KOSDAQ","출판·매체복제","4595","-20","-0.43","178403484960"
"151860","KG에코솔루션","KOSDAQ","화학","5100","-220","-4.14","252975310200"
"035600","KG이니시스","KOSDAQ","출판·매체복제","9220","-110","-1.18","257278881480"
"226360","KH 건설","KOSDAQ","건설","2555","0","0.00","60698450260"
"111870","KH 미래물산","KOSDAQ","일반전기전자","8910","0","0.00","43928518590"
"060720","KH바텍","KOSDAQ","일반전기전자","8250","-250","-2.94","195338896500"
"058400","KNN","KOSDAQ","기타서비스","771","-4","-0.52","102103314120"
"101000","KS인더스트리","KOSDAQ","기계·장비","2320","-20","-0.85","69947116080"
"122450","KX","KOSDAQ","기타서비스","3330","0","0.00","150968760120"
"052900","KX하이텍","KOSDAQ","화학","895","5","0.56","49321227715"
"376190","LB루셈","KOSDAQ","일반전기전자","3835","-80","-2.04","94341000000"
"061970","LB세미콘","KOSDAQ","일반전기전자","3450","-85","-2.40","151056842400"
"309960","LB인베스트먼트","KOSDAQ","금융","3720","-50","-1.33","86368129080"
"225190","LK삼양","KOSDAQ","의료·정밀기기","3470","730","26.64","176097086800"
"060370","LS마린솔루션","KOSDAQ","건설","13500","-360","-2.60","441029529000"
"417200","LS머트리얼즈","KOSDAQ","일반전기전자","11490","-560","-4.65","777329051910"
"078020","LS증권","KOSDAQ","금융","3955","-145","-3.54","219428106450"
"476080","M83","KOSDAQ","오락·문화","15320","-1170","-7.10","119266200000"
"086960","MDS테크","KOSDAQ","출판·매체복제","978","-17","-1.71","90779708664"
"038340","MIT","KOSDAQ","일반전기전자","1233","0","0.00","39979891836"
"160550","NEW","KOSDAQ","오락·문화","2345","35","1.52","65439818570"
"053290","NE능률","KOSDAQ","출판·매체복제","3400","-280","-7.61","56189443800"
"060250","NHN KCP","KOSDAQ","금융","7760","50","0.65","311646341360"
"104200","NHN벅스","KOSDAQ","출판·매체복제","3080","-60","-1.91","45668854000"
"222160","NPX","KOSDAQ","기계·장비","8040","0","0.00","79551289560"
