종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","4715","-55","-1.15","213366758685"
"006840","AK홀딩스","KOSPI","기타금융","11000","-160","-1.43","145723171000"
"027410","BGF","KOSPI","기타금융","3575","15","0.42","342187527825"
"282330","BGF리테일","KOSPI","유통업","108200","-800","-0.73","1870118629200"
"138930","BNK금융지주","KOSPI","기타금융","10560","30","0.28","3383811837120"
"001460","BYC","KOSPI","섬유의복","30200","0","0.00","188633730000"
"001465","BYC우","KOSPI","섬유의복","13060","20","0.15","28129281000"
"001040","CJ","KOSPI","기타금융","96000","-2200","-2.24","2800991808000"
"079160","CJ CGV","KOSPI","서비스업","5570","50","0.91","922281012180"
"00104K","CJ4우(전환)","KOSPI","기타금융","77300","-1200","-1.53","326709377600"
"000120","CJ대한통운","KOSPI","운수창고업","81900","-1000","-1.21","1868330973600"
"011150","CJ씨푸드","KOSPI","음식료품","2905","-70","-2.35","104378895565"
"011155","CJ씨푸드1우","KOSPI","음식료품","16020","-190","-1.17","3204000000"
"001045","CJ우","KOSPI","기타금융","56700","-300","-0.53","128154644100"
"097950","CJ제일제당","KOSPI","음식료품","263500","-9500","-3.48","3966778011000"
"097955","CJ제일제당 우","KOSPI","음식료품","130800","-1800","-1.36","173628236400"
"000480","CR홀딩스","KOSPI","비금속광물","5800","0","0.00","271964842000"
"000590","CS홀딩스","KOSPI","기타금융","69800","0","0.00","80582843600"
"012030","DB","KOSPI","서비스업","1435","-45","-3.04","288684593855"
"016610","DB금융투자","KOSPI","증권","5160","-10","-0.19","219023367240"
"005830","DB손해보험","KOSPI","보험","109200","800","0.74","7731360000000"
"000990","DB하이텍","KOSPI","전기전자","31400","-900","-2.79","1394115663200"
"139130","DGB금융지주","KOSPI","기타금융","8870","-80","-0.89","1500323538710"
"001530","DI동일","KOSPI","유통업","42500","0","0.00","1071666060000"
"000210","DL","KOSPI","화학","34600","-1400","-3.89","725073586400"
"000215","DL우","KOSPI","화학","20800","-100","-0.48","35071192000"
"375500","DL이앤씨","KOSPI","건설업","33700","1000","3.06","1303975095100"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","22200","500","2.30","46885312200"
"37550K","DL이앤씨우","KOSPI","건설업","16630","140","0.85","35153907550"
"007340","DN오토모티브","KOSPI","전기전자","18480","-650","-3.40","1091537185200"
"004840","DRB동일","KOSPI","화학","4375","-150","-3.31","87193750000"
"155660","DSR","KOSPI","철강금속","3915","-50","-1.26","62640000000"
"069730","DSR제강","KOSPI","철강금속","3385","-15","-0.44","48744000000"
"017860","DS단석","KOSPI","화학","59400","2400","4.21","348167397600"
"017940","E1","KOSPI","유통업","73800","-200","-0.27","506268000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","4800","-30","-0.62","1022827200000"
"383220","F&F","KOSPI","섬유의복","53500","800","1.52","2049428512500"
"007700","F&F홀딩스","KOSPI","기타금융","12770","-230","-1.77","499490466590"
"114090","GKL","KOSPI","서비스업","11720","20","0.17","724948452400"
"078930","GS","KOSPI","기타금융","41800","-700","-1.65","3883862800400"
"006360","GS건설","KOSPI","건설업","19480","-120","-0.61","1667127425200"
"001250","GS글로벌","KOSPI","유통업","2965","-110","-3.58","244712610260"
"007070","GS리테일","KOSPI","유통업","23150","0","0.00","2424219894300"
"078935","GS우","KOSPI","기타금융","39300","-700","-1.75","70143661800"
"012630","HDC","KOSPI","기타금융","12030","-190","-1.55","718692903630"
"039570","HDC랩스","KOSPI","건설업","8290","40","0.48","215188512290"
"089470","HDC현대EP","KOSPI","화학","3640","-100","-2.67","116116000000"
"294870","HDC현대산업개발","KOSPI","건설업","20650","0","0.00","1360986364500"
"009540","HD한국조선해양","KOSPI","기타금융","204500","-7000","-3.31","14473102222000"
"267250","HD현대","KOSPI","기타금융","77800","-900","-1.14","6145662013000"
"267270","HD현대건설기계","KOSPI","기계","61700","-1300","-2.06","1129454656200"
"443060","HD현대마린솔루션","KOSPI","서비스업","133300","1300","0.98","5925185000000"
"071970","HD현대마린엔진","KOSPI","기계","19730","-520","-2.57","669271096350"
"010620","HD현대미포","KOSPI","운수장비","125600","-100","-0.08","5016733914400"
"322000","HD현대에너지솔루션","KOSPI","전기전자","19100","-950","-4.74","213920000000"
"042670","HD현대인프라코어","KOSPI","기계","7580","-140","-1.81","1460331471860"
"267260","HD현대일렉트릭","KOSPI","전기전자","349500","2500","0.72","12598473682500"
"329180","HD현대중공업","KOSPI","운수장비","220000","-5500","-2.44","19530085520000"
"097230","HJ중공업","KOSPI","건설업","4555","75","1.67","379314349955"
"014790","HL D&I","KOSPI","건설업","2345","-85","-3.50","88778419345"
"003580","HLB글로벌","KOSPI","유통업","3990","-60","-1.48","191650261530"
"204320","HL만도","KOSPI","운수장비","38600","400","1.05","1812544832000"
"060980","HL홀딩스","KOSPI","기타금융","34500","-100","-0.29","350844645000"
"011200","HMM","KOSPI","운수창고업","17960","-660","-3.54","15823469348160"
"035000","HS애드","KOSPI","서비스업","6410","-10","-0.16","106197091690"
"002460","HS화성","KOSPI","건설업","9160","-150","-1.61","92974000000"
"487570","HS효성","KOSPI","기타금융","32500","-1100","-3.27","121092627500"
"298050","HS효성첨단소재","KOSPI","화학","168800","-9000","-5.06","756215222400"
"003560","IHQ","KOSPI","서비스업","10760","0","0.00","64669472240"
"175330","JB금융지주","KOSPI","기타금융","19680","-260","-1.30","3839237336640"
"234080","JW생명과학","KOSPI","의약품","11460","-90","-0.78","181463988840"
"001060","JW중외제약","KOSPI","의약품","23550","-450","-1.88","548383651500"
"001067","JW중외제약2우B","KOSPI","의약품","61400","400","0.66","12892342200"
"001065","JW중외제약우","KOSPI","의약품","29500","-300","-1.01","10087554500"
"096760","JW홀딩스","KOSPI","기타금융","2870","-5","-0.17","212164583540"
"105560","KB금융","KOSPI","기타금융","96200","-1800","-1.84","37857434292600"
"415640","KB발해인프라","KOSPI","기타금융","7960","-440","-5.24","975462562080"
"432320","KB스타리츠","KOSPI","서비스업","4045","-80","-1.94","410220782825"
"002380","KCC","KOSPI","화학","241500","-1500","-0.62","2146082746500"
"344820","KCC글라스","KOSPI","비금속광물","38600","150","0.39","616461763200"
"009070","KCTC","KOSPI","운수창고업","4095","-170","-3.99","122850000000"
"009440","KC그린홀딩스","KOSPI","기타금융","1012","23","2.33","22704199760"
"119650","KC코트렐","KOSPI","기계","513","-2","-0.39","32941950777"
"092220","KEC","KOSPI","전기전자","783","-24","-2.97","157197539403"
"003620","KG모빌리티","KOSPI","운수장비","4180","-140","-3.24","820969781720"
"016380","KG스틸","KOSPI","철강금속","6620","-60","-0.90","662058898140"
"001390","KG케미칼","KOSPI","화학","3945","-80","-1.99","270110362800"
"033180","KH 필룩스","KOSPI","전기전자","6630","0","0.00","125330728770"
"015590","KIB플러그에너지","KOSPI","기계","515","0","0.00","122045495160"
"001940","KISCO홀딩스","KOSPI","철강금속","21200","50","0.24","342939256000"
"025000","KPX케미칼","KOSPI","화학","44950","-650","-1.43","217558000000"
"092230","KPX홀딩스","KOSPI","화학","55600","-200","-0.36","234890317600"
"000040","KR모터스","KOSPI","운수장비","445","-16","-3.47","26759126260"
"044450","KSS해운","KOSPI","운수창고업","8720","20","0.23","201308873600"
"030200","KT","KOSPI","통신업","48800","-50","-0.10","12298658228000"
"033780","KT&G","KOSPI","기타제조업","121800","400","0.33","15433582134600"
"058850","KTcs","KOSPI","서비스업","2885","-50","-1.70","123146225000"
"058860","KTis","KOSPI","서비스업","2685","-15","-0.56","93443370000"
"093050","LF","KOSPI","섬유의복","15710","-90","-0.57","459360400000"
"003550","LG","KOSPI","기타금융","74900","-3200","-4.10","11781844375700"
"034220","LG디스플레이","KOSPI","전기전자","9480","-450","-4.53","4740000000000"
"051900","LG생활건강","KOSPI","화학","310500","-9500","-2.97","4849450168500"
"051905","LG생활건강우","KOSPI","화학","140000","-1100","-0.78","293957580000"
"373220","LG에너지솔루션","KOSPI","전기전자","381500","-21000","-5.22","89271000000000"
"003555","LG우","KOSPI","기타금융","59100","-500","-0.84","178577742000"
"032640","LG유플러스","KOSPI","통신업","11590","-210","-1.78","5060325673990"
"011070","LG이노텍","KOSPI","전기전자","161900","-7200","-4.26","3831704623300"
"066570","LG전자","KOSPI","전기전자","89700","-2200","-2.39","14679208915800"
"066575","LG전자우","KOSPI","전기전자","42950","-1500","-3.37","738138356400"
"037560","LG헬로비전","KOSPI","서비스업","2545","-45","-1.74","197102271425"
"051910","LG화학","KOSPI","화학","284000","-21000","-6.89","20048225412000"
"051915","LG화학우","KOSPI","화학","190000","-13500","-6.63","1460872000000"
"079550","LIG넥스원","KOSPI","기계","197100","-5900","-2.91","4336200000000"
"006260","LS","KOSPI","기타금융","88400","-3000","-3.28","2846480000000"
"010120","LS ELECTRIC","KOSPI","전기전자","144000","300","0.21","4320000000000"
"000680","LS네트웍스","KOSPI","유통업","2885","-115","-3.83","227346701160"
"229640","LS에코에너지","KOSPI","기타금융","23050","-650","-2.74","705903460950"
"108320","LX세미콘","KOSPI","전기전자","54000","-500","-0.92","878272200000"
"001120","LX인터내셔널","KOSPI","유통업","28550","-350","-1.21","1106598000000"
"108670","LX하우시스","KOSPI","화학","35600","-800","-2.20","319249052000"
"108675","LX하우시스우","KOSPI","화학","22200","0","0.00","22917726000"
"383800","LX홀딩스","KOSPI","기타금융","6850","-10","-0.15","522522726500"
"38380K","LX홀딩스1우","KOSPI","기타금융","8170","100","1.24","11971378450"
"023150","MH에탄올","KOSPI","음식료품","5190","30","0.58","38294549940"
"035420","NAVER","KOSPI","서비스업","206500","2000","0.98","32717242152000"
"181710","NHN","KOSPI","서비스업","17590","-90","-0.51","593946103570"
"400760","NH올원리츠","KOSPI","서비스업","3355","-10","-0.30","143685105025"
"005940","NH투자증권","KOSPI","증권","13320","-120","-0.89","4362197422680"
"005945","NH투자증권우","KOSPI","증권","12080","-50","-0.41","227961293440"
"338100","NH프라임리츠","KOSPI","서비스업","4255","-100","-2.30","79398300000"
"034310","NICE","KOSPI","서비스업","11120","-50","-0.45","417038664240"
"030190","NICE평가정보","KOSPI","서비스업","12060","0","0.00","724898500200"
"008260","NI스틸","KOSPI","철강금속","3655","-120","-3.18","104533427635"
"004250","NPC","KOSPI","화학","4505","-15","-0.33","165423600000"
"004255","NPC우","KOSPI","화학","2600","-20","-0.76","13728000000"
"456040","OCI","KOSPI","화학","61900","-2200","-3.43","554159440500"
"010060","OCI홀딩스","KOSPI","기타금융","59500","-2400","-3.88","1138077503500"
"178920","PI첨단소재","KOSPI","화학","16410","-710","-4.15","481901344020"
"005490","POSCO홀딩스","KOSPI","철강금속","282500","-13000","-4.40","23341386502500"
"010950","S-Oil","KOSPI","화학","57300","-800","-1.38","6450993981600"
"010955","S-Oil우","KOSPI","화학","39700","-300","-0.75","159670501900"
"034120","SBS","KOSPI","서비스업","15350","-20","-0.13","284761503300"
"005090","SGC에너지","KOSPI","전기가스업","25500","-600","-2.30","367437991500"
"001380","SG글로벌","KOSPI","운수장비","2650","-90","-3.28","119154978950"
"004060","SG세계물산","KOSPI","유통업","329","-7","-2.08","66597811840"
"001770","SHD","KOSPI","철강금속","14930","-120","-0.80","18138128540"
"002360","SH에너지화학","KOSPI","화학","527","-17","-3.13","58567475710"
"009160","SIMPAC","KOSPI","철강금속","3700","-60","-1.60","242089209200"
"033530","SJG세종","KOSPI","운수장비","4150","-20","-0.48","115456988150"
"123700","SJM","KOSPI","운수장비","3090","-35","-1.12","48219134820"
"025530","SJM홀딩스","KOSPI","유통업","3350","-30","-0.89","50028926800"
"034730","SK","KOSPI","기타금융","136600","-4600","-3.26","9903869229800"
"011790","SKC","KOSPI","화학","98900","-5000","-4.81","3745174672200"
"018670","SK가스","KOSPI","유통업","217000","0","0.00","2002962948000"
"001740","SK네트웍스","KOSPI","유통업","4345","-80","-1.81","961452484190"
"006120","SK디스커버리","KOSPI","기타금융","36800","-1250","-3.29","691319464000"
"006125","SK디스커버리우","KOSPI","기타금융","32650","-450","-1.36","44353555750"
"210980","SK디앤디","KOSPI","서비스업","7510","-160","-2.09","139816538820"
"395400","SK리츠","KOSPI","서비스업","4670","-65","-1.37","1273923976200"
"302440","SK바이오사이언스","KOSPI","의약품","47100","-2000","-4.07","3690157500300"
"326030","SK바이오팜","KOSPI","서비스업","103400","400","0.39","8097590050000"
"402340","SK스퀘어","KOSPI","기타금융","73500","-500","-0.68","9904122060000"
"361610","SK아이이테크놀로지","KOSPI","전기전자","26250","-1550","-5.58","1871561790000"
"100090","SK오션플랜트","KOSPI","철강금속","11570","-330","-2.77","684892721760"
"03473K","SK우","KOSPI","기타금융","117800","900","0.77","66690703000"
"096770","SK이노베이션","KOSPI","화학","114600","-2900","-2.47","17308585329600"
"096775","SK이노베이션우","KOSPI","화학","75700","-2500","-3.20","94505848200"
"475150","SK이터닉스","KOSPI","건설업","13110","-520","-3.82","441700743450"
"001510","SK증권","KOSPI","증권","496","-6","-1.20","234404724816"
"001515","SK증권우","KOSPI","증권","1675","-4","-0.24","6553460950"
"285130","SK케미칼","KOSPI","화학","42050","-1750","-4.00","725521575150"
"28513K","SK케미칼우","KOSPI","화학","19520","-310","-1.56","41293174080"
"017670","SK텔레콤","KOSPI","통신업","61400","-100","-0.16","13188109254200"
"000660","SK하이닉스","KOSPI","전기전자","159900","-1200","-0.74","116407578163500"
"003570","SNT다이내믹스","KOSPI","운수장비","19640","-260","-1.31","653082969080"
"064960","SNT모티브","KOSPI","운수장비","41350","0","0.00","604666673600"
"100840","SNT에너지","KOSPI","기계","16900","-140","-0.82","349505232700"
"036530","SNT홀딩스","KOSPI","기타금융","22850","-50","-0.22","372543795100"
"005610","SPC삼립","KOSPI","음식료품","47100","-350","-0.74","406426323900"
"011810","STX","KOSPI","유통업","4760","-100","-2.06","147645332520"
"465770","STX그린로지스","KOSPI","운수창고업","8500","-480","-5.35","60953772000"
"077970","STX엔진","KOSPI","기계","19150","0","0.00","440620511600"
